ano_base,cd_programa_ies,nm_programa_ies,fonte_arquivo,fonte_data_coleta,qtd_registros_docente,qtd_docentes_distintos
2004,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,36,36
2004,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,23,23
2004,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,31,31
2004,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,33,33
2004,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,42,42
2004,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,20,20
2005,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,17,17
2005,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,26,26
2005,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,32,32
2005,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,33,33
2005,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,47,47
2005,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,22,22
2006,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,17,17
2006,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,27,27
2006,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,33,33
2006,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,33,33
2006,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,46,46
2006,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,21,21
2007,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,18,18
2007,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,29,29
2007,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,34,34
2007,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,33,33
2007,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,52,52
2007,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,21,21
2008,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,19,19
2008,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,31,31
2008,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,32,32
2008,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,33,33
2008,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,55,55
2008,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,17,17
2009,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,19,19
2009,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,31,31
2009,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,35,35
2009,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,33,33
2009,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,50,50
2009,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,17,17
2010,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,24,24
2010,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,31,31
2010,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,37,37
2010,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,32,32
2010,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,54,54
2010,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,13,13
2010,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,30,30
2011,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,26,26
2011,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,32,32
2011,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,32,32
2011,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,34,34
2011,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,56,56
2011,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,13,13
2011,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,33,33
2012,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,26,26
2012,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,33,33
2012,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,33,33
2012,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,34,34
2012,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,58,58
2012,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,14,14
2012,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2004a2012-2021-03-01.xlsx,2021-03-01,32,32
2013,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2013-2023-08-01.xlsx,2023-08-01,29,29
2013,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2013-2023-08-01.xlsx,2023-08-01,34,34
2013,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2013-2023-08-01.xlsx,2023-08-01,33,33
2013,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2013-2023-08-01.xlsx,2023-08-01,35,35
2013,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2013-2023-08-01.xlsx,2023-08-01,58,58
2013,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2013-2023-08-01.xlsx,2023-08-01,15,15
2013,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2013-2023-08-01.xlsx,2023-08-01,33,33
2014,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2014-2023-08-01.xlsx,2023-08-01,32,32
2014,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2014-2023-08-01.xlsx,2023-08-01,34,34
2014,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2014-2023-08-01.xlsx,2023-08-01,29,29
2014,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2014-2023-08-01.xlsx,2023-08-01,35,35
2014,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2014-2023-08-01.xlsx,2023-08-01,61,61
2014,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2014-2023-08-01.xlsx,2023-08-01,15,15
2014,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2014-2023-08-01.xlsx,2023-08-01,32,32
2015,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2015-2023-08-01.xlsx,2023-08-01,30,30
2015,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2015-2023-08-01.xlsx,2023-08-01,33,33
2015,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2015-2023-08-01.xlsx,2023-08-01,34,34
2015,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2015-2023-08-01.xlsx,2023-08-01,35,35
2015,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2015-2023-08-01.xlsx,2023-08-01,57,57
2015,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2015-2023-08-01.xlsx,2023-08-01,18,18
2015,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2015-2023-08-01.xlsx,2023-08-01,32,32
2016,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,30,30
2016,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,32,32
2016,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,33,33
2016,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,35,35
2016,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,53,53
2016,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,17,17
2016,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2016-2023-08-01.xlsx,2023-08-01,34,34
2017,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,29,29
2017,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,29,29
2017,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,31,31
2017,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,35,35
2017,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,52,52
2017,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,15,15
2017,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2017-2021-11-10.xlsx,2021-11-10,32,32
2018,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,28,28
2018,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,27,27
2018,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,31,31
2018,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,35,35
2018,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,47,47
2018,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,15,15
2018,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2018-2021-11-10.xlsx,2021-11-10,31,31
2019,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,27,27
2019,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,24,24
2019,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,27,27
2019,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,35,35
2019,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,46,46
2019,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,19,19
2019,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2019-2021-11-10.xlsx,2021-11-10,30,30
2020,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,23,23
2020,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,27,27
2020,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,27,27
2020,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,36,36
2020,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,44,44
2020,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,19,19
2020,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2020-2021-11-10.xlsx,2021-11-10,32,32
2021,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,22,22
2021,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,28,28
2021,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,25,25
2021,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,36,36
2021,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,33,33
2021,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,18,18
2021,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2021-2025-03-31.xlsx,2025-03-31,29,29
2022,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,21,21
2022,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,29,29
2022,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,26,26
2022,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,36,36
2022,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,33,33
2022,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,18,18
2022,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2022-2025-03-31.xlsx,2025-03-31,29,29
2023,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,21,21
2023,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,25,25
2023,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,25,25
2023,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,35,35
2023,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,31,31
2023,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,18,18
2023,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2023-2025-03-31.xlsx,2025-03-31,27,27
2024,33010013002P1,COMPUTAÇÃO APLICADA,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,21,21
2024,33010013003P8,METEOROLOGIA,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,27,27
2024,33010013005P0,SENSORIAMENTO REMOTO,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,24,24
2024,33010013008P0,GEOFÍSICA ESPACIAL,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,30,30
2024,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,29,29
2024,33010013010P4,ASTROFÍSICA,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,18,18
2024,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,br-capes-colsucup-docente-2024-2025-12-01.xlsx,2025-12-01,26,26
